project_name,size,stars,watchers,forks,open_issues,network_count,commits,contributors,closed_issues
kubernetes,960053,75071,3278,27256,2926,27256,98986,3815,97027
spark,357726,29017,2123,23460,214,23460,29516,2415,31551
vscode,345334,112604,3097,18253,4731,18253,78124,1686,111453
nixpkgs,1430029,6430,175,5872,6588,5872,275288,5012,107990
rust,603452,52866,1499,7659,6927,7659,139688,4104,75841
blocklist-ipsets,129896,1701,120,199,112,199,1,1,56
origin,1144665,7834,549,4478,262,4478,32843,486,25670
ansible,195310,47155,2028,20341,1861,20341,51213,6354,71765
wp-calypso,282273,11716,515,1829,2618,1829,45597,716,47969
corefx,235721,17900,1466,5335,15,5335,4,3,24789
roslyn,1189890,14075,1082,3247,8271,3247,70248,576,42840
node,665308,77519,2978,19547,1239,19547,33161,3288,35572
tensorflow,668399,153873,8213,84172,4038,84172,106286,3557,43354
freeCodeCamp,185561,321438,8431,25518,273,25518,27175,4606,40624
tgstation,1739888,1114,109,3101,1834,3101,80290,1266,55601
swift,651095,55300,2587,8869,328,8869,118427,1035,35902
elasticsearch,797407,54007,2778,19392,3167,19392,57662,1734,66794
moby,162310,59795,3108,17255,4089,17255,39344,2201,37947
cockroach,1517885,20050,714,2564,4174,2564,56185,476,57494
tweakCompatible,2324136,371,38,90,1561,90,30665,3,12
servo,1131149,19236,521,2541,3350,2541,43954,1274,24855
flutter,139755,115994,3553,16444,8637,16444,22995,868,68749
homebrew-core,382516,8952,267,9034,127,9034,223747,11787,72531
core,225696,40867,1330,13436,1635,13436,33898,2630,45785
coreclr,332275,12481,953,2843,10,2843,4,3,18068
Specs,852792,6117,272,8862,3,8862,570362,38946,13981
kibana,2818664,15757,853,6397,8155,6397,41172,658,85833
julia,201446,32273,992,4334,4092,4334,49126,1271,35753
TypeScript,1365815,69178,2166,9170,5068,9170,31844,617,37256
joomla-cms,284120,3708,363,3109,986,3109,32520,875,31429
DefinitelyTyped,664223,32682,662,24155,3815,24155,74390,16310,47812
homebrew-cask,250330,18028,315,8952,37,8952,128212,8527,100736
ceph,495121,8893,677,4231,520,4231,120607,1393,39421
go,244886,83102,3526,12064,6973,12064,47019,1956,37604
amphtml,860558,14040,668,3767,1874,3767,18734,1089,31132
edx-platform,1435081,5459,415,2983,299,2983,58012,981,26432
